iter	Logloss
171	0.2447388243
172	0.244660208
173	0.244567883
174	0.2444655795
175	0.2443701685
176	0.2442535481
177	0.24414425
178	0.2440297299
179	0.2439547014
180	0.2438663434
181	0.2437681876
182	0.2436707302
183	0.2435626962
184	0.2434313355
185	0.2433244883
186	0.2432143621
187	0.2431361196
188	0.2430193656
189	0.2429331476
190	0.2428284794
191	0.2427217032
192	0.2426089404
193	0.2425289628
194	0.2424305194
195	0.2423276534
196	0.2422421786
197	0.2421274506
198	0.2420332811
199	0.2419350126
200	0.2418373535
201	0.241730168
202	0.2416328313
203	0.2415612245
204	0.2414600788
205	0.2413667783
206	0.2412725957
207	0.2411702452
208	0.241077831
209	0.2409564228
210	0.2408521199
211	0.240749136
212	0.2406525569
213	0.2405679921
214	0.2404552482
215	0.2403745256
216	0.2402814643
217	0.2402017921
218	0.2401092933
219	0.2400350124
220	0.2399384697
221	0.2398426851
222	0.2397410354
223	0.2396638
224	0.2396080395
225	0.2395168989
226	0.2394286737
227	0.2393357686
228	0.239259008
229	0.239166008
230	0.2390912914
231	0.239005705
232	0.238930227
233	0.2388445936
234	0.2387417123
235	0.2386483555
236	0.2385497925
237	0.2384606632
238	0.2383741558
239	0.2382874916
240	0.2382047538
241	0.2381270485
242	0.2380383554
243	0.2379496218
244	0.2378439737
245	0.2377701664
246	0.2376771886
247	0.2375768887
248	0.2374877702
249	0.2374075573
250	0.2373234817
251	0.2372198329
252	0.2371646195
253	0.2370793035
254	0.236978565
255	0.2368964177
256	0.2368095767
257	0.236724117
258	0.2366652337
259	0.2365890223
260	0.2364989689
261	0.2364180635
262	0.236322452
263	0.2362544596
264	0.2361660912
265	0.2360662299
266	0.2359892815
267	0.2359121893
268	0.235830133
269	0.2357412995
270	0.2356479937
271	0.2355557726
272	0.2354598182
273	0.235366511
274	0.2352917118
275	0.2352051884
276	0.235133229
277	0.2350381283
278	0.23494673
279	0.2348583936
280	0.2347703427
281	0.2346832741
282	0.2345999834
283	0.2345160045
284	0.2344293582
285	0.2343491209
286	0.2342757484
287	0.2341873683
288	0.2341237639
289	0.2340461232
290	0.2339543088
291	0.2338960416
292	0.2338269216
293	0.2337364057
294	0.2336548714
295	0.2335656477
296	0.2335082215
297	0.2334531568
298	0.2333839751
299	0.2333045516
300	0.2332257444
301	0.2331436788
302	0.2330612984
303	0.2329827763
304	0.2329163809
305	0.2328298724
306	0.2327517703
307	0.2326843959
308	0.2326164176
309	0.2325301054
310	0.2324405898
311	0.2323573168
312	0.2322668414
313	0.2321992979
314	0.2321349968
315	0.2320510688
316	0.2319863451
317	0.2319108484
318	0.2318339615
319	0.2317740479
320	0.2317158835
321	0.2316247069
322	0.2315664516
323	0.2314709897
324	0.231387698
325	0.2313152041
326	0.2312447805
327	0.231168173
328	0.2310893022
329	0.2310173271
330	0.2309581454
331	0.2308923163
332	0.2308268576
333	0.2307552194
334	0.2306811439
335	0.2305959155
336	0.2305346113
337	0.230475974
338	0.2303871753
339	0.2303250956
340	0.2302440334
341	0.2301783555
342	0.2301076327
343	0.2300385112
344	0.229963556
345	0.2298940979
346	0.2298142626
347	0.2297496819
348	0.2296861004
349	0.2296142934
350	0.2295345099
351	0.2294576123
352	0.2293952582
353	0.2293369068
354	0.2292728321
355	0.2291853114
356	0.2290990062
357	0.2290278541
358	0.2289526495
359	0.2288816358
